Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.800000190734863,5.800000190734863,5.75,5.75,5.110563278198242,4000
1996-01-02,5.800000190734863,5.849999904632568,5.699999809265137,5.752500057220459,5.112785339355469,24000
1996-01-03,5.752500057220459,5.75,5.650000095367432,5.699999809265137,5.0661234855651855,22000
1996-01-04,5.650000095367432,5.650000095367432,5.550000190734863,5.607500076293945,4.983909606933594,46000
1996-01-05,5.5,5.550000190734863,5.449999809265137,5.454999923706055,4.84837007522583,20000
1996-01-08,5.454999923706055,5.449999809265137,5.400000095367432,5.400000095367432,4.799485206604004,24000
1996-01-09,5.25,5.400000095367432,5.25,5.397500038146973,4.7972636222839355,46000
1996-01-10,5.397500038146973,5.449999809265137,5.300000190734863,5.449999809265137,4.843925952911377,10000
1996-01-11,5.400000095367432,5.5,5.400000095367432,5.5,4.888364315032959,14000
1996-01-12,5.5,5.824999809265137,5.650000095367432,5.650000095367432,5.021685600280762,54000
1996-01-15,5.449999809265137,5.449999809265137,5.402500152587891,5.427499771118164,4.823928356170654,10000
1996-01-16,5.427499771118164,5.75,5.449999809265137,5.710000038146973,5.07501220703125,34000
1996-01-17,5.710000038146973,5.647500038146973,5.465000152587891,5.465000152587891,4.857258319854736,6000
1996-01-18,5.375,5.5,5.327499866485596,5.5,4.888364315032959,48000
1996-01-19,5.324999809265137,5.422500133514404,5.300000190734863,5.414999961853027,4.8128180503845215,46000
1996-01-22,5.414999961853027,5.5,5.349999904632568,5.5,4.888364315032959,302000
1996-01-23,5.5,5.400000095367432,5.050000190734863,5.087500095367432,4.521737575531006,32000
1996-01-24,5.087500095367432,5.322500228881836,5.102499961853027,5.322500228881836,4.730605125427246,18000
1996-01-25,5.322500228881836,5.300000190734863,5.0,5.0,4.443967819213867,34000
1996-01-26,5.0,5.0,5.0,5.0,4.443967819213867,0
1996-01-29,5.0,5.125,5.050000190734863,5.125,4.55506706237793,52000
1996-01-30,5.125,5.247499942779541,5.127500057220459,5.224999904632568,4.643945693969727,58000
1996-01-31,5.25,5.400000095367432,5.199999809265137,5.327499866485596,4.735047817230225,44000
1996-02-01,5.25,5.5,5.25,5.449999809265137,4.843925952911377,30000
1996-02-02,5.75,5.775000095367432,5.652500152587891,5.75,5.110563278198242,44000
1996-02-05,5.75,5.947500228881836,5.702499866485596,5.707499980926514,5.072790145874023,26000
1996-02-06,5.724999904632568,5.849999904632568,5.599999904632568,5.724999904632568,5.088344097137451,46000
1996-02-07,5.724999904632568,5.699999809265137,5.400000095367432,5.510000228881836,4.897253036499023,48000
1996-02-08,5.650000095367432,5.675000190734863,5.527500152587891,5.545000076293945,4.928360462188721,44000
