Date,Open,High,Low,Close,Adj Close,Volume
2024-07-02,320.0,324.79998779296875,306.70001220703125,317.8999938964844,317.8999938964844,49362110
2024-07-03,323.0,339.29998779296875,323.0,334.8999938964844,334.8999938964844,14342875
2024-07-04,339.0,344.8999938964844,331.20001220703125,334.1499938964844,334.1499938964844,5414930
2024-07-05,333.75,346.8999938964844,333.0,344.04998779296875,344.04998779296875,4231227
2024-07-08,347.0,347.3500061035156,337.54998779296875,340.25,340.25,2306336
2024-07-09,340.0,345.5,332.04998779296875,334.75,334.75,1815140
2024-07-10,337.0,338.0,316.5,330.8999938964844,330.8999938964844,2894014
2024-07-11,332.5,339.70001220703125,326.1000061035156,335.29998779296875,335.29998779296875,1768224
2024-07-12,337.0,339.79998779296875,327.54998779296875,329.29998779296875,329.29998779296875,1742750
2024-07-15,330.1499938964844,332.70001220703125,320.79998779296875,322.04998779296875,322.04998779296875,920342
2024-07-16,322.6499938964844,326.8500061035156,318.0,319.0,319.0,751041
2024-07-18,318.8999938964844,321.0,308.79998779296875,310.20001220703125,310.20001220703125,943866
2024-07-19,310.20001220703125,314.54998779296875,299.1000061035156,303.70001220703125,303.70001220703125,1447369
2024-07-22,302.95001220703125,307.5,289.8999938964844,292.79998779296875,292.79998779296875,1856715
2024-07-23,291.0,306.8999938964844,282.04998779296875,296.75,296.75,3981710
2024-07-24,300.0,314.8999938964844,297.5,309.8500061035156,309.8500061035156,2551603
2024-07-25,307.0,314.6499938964844,303.8999938964844,310.8500061035156,310.8500061035156,764199
2024-07-26,315.0,319.8500061035156,312.0,314.6000061035156,314.6000061035156,612876
2024-07-29,315.95001220703125,323.70001220703125,311.04998779296875,313.1499938964844,313.1499938964844,902332
2024-07-30,313.25,317.0,306.1000061035156,307.75,307.75,1021400
2024-07-31,308.0,312.8500061035156,306.6000061035156,308.20001220703125,308.20001220703125,588676
2024-08-01,307.6499938964844,309.6499938964844,298.54998779296875,299.95001220703125,299.95001220703125,791457
2024-08-02,296.95001220703125,305.5,295.0,301.04998779296875,301.04998779296875,484277
2024-08-05,289.0,300.0,284.25,285.8500061035156,285.8500061035156,939659
2024-08-06,290.0,302.3999938964844,285.8500061035156,288.29998779296875,288.29998779296875,707224
2024-08-07,295.0,302.3999938964844,290.25,300.95001220703125,300.95001220703125,452181
2024-08-08,300.1000061035156,302.20001220703125,287.75,289.04998779296875,289.04998779296875,709403
2024-08-09,295.8999938964844,297.0,288.75,292.25,292.25,347147
2024-08-12,293.0,317.0,293.0,310.8500061035156,310.8500061035156,1951207
2024-08-13,314.6499938964844,318.54998779296875,300.04998779296875,302.6000061035156,302.6000061035156,922281
2024-08-14,315.0,315.0,299.6000061035156,301.0,301.0,2029030
2024-08-16,308.0,308.25,299.0,301.1000061035156,301.1000061035156,944799
2024-08-19,304.0,304.0,298.5,300.20001220703125,300.20001220703125,746334
2024-08-20,303.5,318.3999938964844,302.25,309.1499938964844,309.1499938964844,1997835
2024-08-21,310.0,313.79998779296875,308.1499938964844,310.20001220703125,310.20001220703125,516462
2024-08-22,310.0,334.5,308.70001220703125,332.8999938964844,332.8999938964844,4083038
2024-08-23,335.0,338.0,326.79998779296875,330.3999938964844,330.3999938964844,1203828
2024-08-26,331.3999938964844,333.70001220703125,322.5,327.1000061035156,327.1000061035156,776209
2024-08-27,326.8999938964844,352.8999938964844,324.54998779296875,347.70001220703125,347.70001220703125,3840047
2024-08-28,351.0,356.3999938964844,339.04998779296875,341.6499938964844,341.6499938964844,2789551
2024-08-29,343.3999938964844,347.20001220703125,339.04998779296875,344.25,344.25,1292909
2024-08-30,345.25,364.29998779296875,344.25,359.3999938964844,359.3999938964844,2746815
2024-09-02,371.0,371.8500061035156,351.0,351.54998779296875,351.54998779296875,1914886
2024-09-03,352.0,358.70001220703125,348.79998779296875,349.95001220703125,349.95001220703125,780325
2024-09-04,345.0,352.0,340.70001220703125,349.54998779296875,349.54998779296875,1100235
2024-09-05,352.95001220703125,359.8999938964844,350.0,357.45001220703125,357.45001220703125,1110685
2024-09-06,360.0,360.0,340.1000061035156,342.29998779296875,342.29998779296875,1033335
2024-09-09,342.0,349.95001220703125,336.04998779296875,347.45001220703125,347.45001220703125,1259369
2024-09-10,345.20001220703125,356.5,345.1000061035156,351.75,351.75,965531
2024-09-11,352.29998779296875,363.0,349.29998779296875,350.6000061035156,350.6000061035156,1433736
2024-09-12,353.29998779296875,365.0,352.1000061035156,354.3500061035156,354.3500061035156,1482023
2024-09-13,355.95001220703125,362.45001220703125,353.0,354.1499938964844,354.1499938964844,602906
2024-09-16,356.0,372.3999938964844,355.54998779296875,359.95001220703125,359.95001220703125,2728702
2024-09-17,359.0,361.29998779296875,343.6499938964844,346.04998779296875,346.04998779296875,1080883
2024-09-18,345.8999938964844,349.8999938964844,342.20001220703125,345.70001220703125,345.70001220703125,701549
2024-09-19,353.0,357.25,332.75,338.8500061035156,338.8500061035156,1249217
2024-09-20,339.1499938964844,349.29998779296875,337.45001220703125,345.54998779296875,345.54998779296875,571925
2024-09-23,350.0,356.79998779296875,346.0,349.79998779296875,349.79998779296875,781850
2024-09-24,350.0,364.0,348.0,356.70001220703125,356.70001220703125,1115690
2024-09-25,357.1000061035156,358.29998779296875,345.6000061035156,348.3999938964844,348.3999938964844,594481
2024-09-26,348.3999938964844,351.95001220703125,343.8500061035156,346.25,346.25,427280
